dtEventTime,gametype,winCamp,gametime,killcnt,deadcnt,assistcnt,gameresult,mvpcnt,losemvp,heroId,AcntCamp,teamNum,mapName,detailUrl,rampage,gameSvrId,relaySvrId,gameSeq,pvpType,multiCampRank,battleType,branchEvaluate,oldMasterMatchScore,newMasterMatchScore,battleRoyaleEvaluate,hero1TripleKillCnt,hero1UltraKillCnt,hero1RampageCnt,sixKill,sevenKill,usedTime,godLikeCnt,firstBlood,pveRateLvl,playerRank,winNum,failNum,roleJob,roleJobName,stars,desc,analyseUrl,battleDetailUrl,evaluateUrl,heroIcon,chessIds,evaluateUrlV2,mvpUrlV2,supportPro,battleTypeDesc,bgImg,userId,stickyEvaluateUrl,runawayUrl,hero1Kill6Cnt,hero1Kill7Cnt,hero1Kill8Cnt,hero1Kill9Cnt,hero1Kill10Cnt,gradeGame
1738746734,4,1,2025/2/5 16:57,6,13,2,2,0,0,183,2,1,排位赛,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=154962&relaySvrId=-2078244080&gameseq=1738745694&pvptype=5,0,154962,-2078244080,1738745694,5,2,16,0,1200,1200,0,0,0,0,0,0,886,0,0,0,0,0,0,16,荣耀王者,44,,https://camp.qq.com/h5/webdist/team-analyzev2.html?sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&gameseq=1738745694&relaysvrentity=-2078244080&playerid=1140354248&roleName=elo！躺赢&uniqueRoleId=126973517&roleId=1140354248,smobagamehelper://hippy?modulename=battledetail&toServerId=1086&toAreaId=1&toAppRoleId=126973517&toGameRoleId=1140354248&gameSvrId=154962&relaySvrId=-2078244080&gameSeq=1738745694&pvpType=5&acntCamp=2&battleType=16,,https://game-1255653016.file.myqcloud.com/manage/custom_wzry_skin_128x128/38ef965b650a7d05b792662d16c02e5b.png,,,,31,,,0,,,0,0,0,0,0,7.3
1738681977,4,1,2025/2/4 23:00,8,11,7,1,0,0,183,1,3,排位赛 三排,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=133920&relaySvrId=-750763248&gameseq=1738681057&pvptype=5,0,133920,-750763248,1738681057,5,1,13,0,1200,1200,0,0,0,0,0,0,748,0,0,0,0,0,0,16,荣耀王者,45,实力局,https://camp.qq.com/h5/webdist/team-analyzev2.html?sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&gameseq=1738681057&relaysvrentity=-750763248&playerid=1140354248&roleName=elo！躺赢&uniqueRoleId=126973517&roleId=1140354248,smobagamehelper://hippy?modulename=battledetail&toServerId=1086&toAreaId=1&toAppRoleId=126973517&toGameRoleId=1140354248&gameSvrId=133920&relaySvrId=-750763248&gameSeq=1738681057&pvpType=5&acntCamp=1&battleType=13,,https://game-1255653016.file.myqcloud.com/manage/custom_wzry_skin_128x128/38ef965b650a7d05b792662d16c02e5b.png,,,,31,,,0,,,0,0,0,0,0,9.8
1738680975,4,2,2025/2/4 22:43,3,11,3,1,0,0,183,2,2,排位赛 双排,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=133663&relaySvrId=-213900528&gameseq=1738680000&pvptype=5,0,133663,-213900528,1738680000,5,1,12,0,1200,1200,0,0,0,0,0,0,779,0,0,0,0,0,0,16,荣耀王者,44,躺赢局,https://camp.qq.com/h5/webdist/team-analyzev2.html?sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&gameseq=1738680000&relaysvrentity=-213900528&playerid=1140354248&roleName=elo！躺赢&uniqueRoleId=126973517&roleId=1140354248,smobagamehelper://hippy?modulename=battledetail&toServerId=1086&toAreaId=1&toAppRoleId=126973517&toGameRoleId=1140354248&gameSvrId=133663&relaySvrId=-213900528&gameSeq=1738680000&pvpType=5&acntCamp=2&battleType=12,,https://game-1255653016.file.myqcloud.com/manage/custom_wzry_skin_128x128/38ef965b650a7d05b792662d16c02e5b.png,,,,31,,,0,,,0,0,0,0,0,5.7
1738679899,4,1,2025/2/4 22:26,0,9,0,2,0,0,183,2,2,排位赛 双排,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=179118&relaySvrId=1778393873&gameseq=1738679026&pvptype=5,0,179118,1778393873,1738679026,5,2,12,0,1200,1200,0,0,0,0,0,0,683,0,0,0,0,0,0,16,荣耀王者,43,,https://camp.qq.com/h5/webdist/team-analyzev2.html?sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&gameseq=1738679026&relaysvrentity=1778393873&playerid=1140354248&roleName=elo！躺赢&uniqueRoleId=126973517&roleId=1140354248,smobagamehelper://hippy?modulename=battledetail&toServerId=1086&toAreaId=1&toAppRoleId=126973517&toGameRoleId=1140354248&gameSvrId=179118&relaySvrId=1778393873&gameSeq=1738679026&pvpType=5&acntCamp=2&battleType=12,,https://game-1255653016.file.myqcloud.com/manage/custom_wzry_skin_128x128/38ef965b650a7d05b792662d16c02e5b.png,,,,31,,,0,,,0,0,0,0,0,2.9
1738678946,4,1,2025/2/4 22:09,2,10,7,1,0,0,183,1,2,排位赛 双排,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=176082&relaySvrId=518038032&gameseq=1738677991&pvptype=5,0,176082,518038032,1738677991,5,1,12,0,1200,1200,0,0,0,0,0,0,799,0,0,0,0,0,0,16,荣耀王者,44,,https://camp.qq.com/h5/webdist/team-analyzev2.html?sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&gameseq=1738677991&relaysvrentity=518038032&playerid=1140354248&roleName=elo！躺赢&uniqueRoleId=126973517&roleId=1140354248,smobagamehelper://hippy?modulename=battledetail&toServerId=1086&toAreaId=1&toAppRoleId=126973517&toGameRoleId=1140354248&gameSvrId=176082&relaySvrId=518038032&gameSeq=1738677991&pvpType=5&acntCamp=1&battleType=12,,https://game-1255653016.file.myqcloud.com/manage/custom_wzry_skin_128x128/38ef965b650a7d05b792662d16c02e5b.png,,,,31,,,0,,,0,0,0,0,0,6.3
1738677647,4,1,2025/2/4 21:39,4,14,6,1,0,0,183,1,2,排位赛 双排,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=175435&relaySvrId=1430283025&gameseq=1738676220&pvptype=5,0,175435,1430283025,1738676220,5,1,12,0,1200,1200,0,0,0,0,0,0,1284,0,0,0,0,0,0,16,荣耀王者,43,,https://camp.qq.com/h5/webdist/team-analyzev2.html?sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&gameseq=1738676220&relaysvrentity=1430283025&playerid=1140354248&roleName=elo！躺赢&uniqueRoleId=126973517&roleId=1140354248,smobagamehelper://hippy?modulename=battledetail&toServerId=1086&toAreaId=1&toAppRoleId=126973517&toGameRoleId=1140354248&gameSvrId=175435&relaySvrId=1430283025&gameSeq=1738676220&pvpType=5&acntCamp=1&battleType=12,,https://game-1255653016.file.myqcloud.com/manage/custom_wzry_skin_128x128/38ef965b650a7d05b792662d16c02e5b.png,,,,31,,,0,,,0,0,0,0,0,6.3
1738676034,4,1,2025/2/4 21:16,4,14,6,1,0,0,183,1,2,排位赛 双排,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=133980&relaySvrId=-551533808&gameseq=1738674792&pvptype=5,0,133980,-551533808,1738674792,5,1,12,0,1200,1200,0,0,0,0,0,0,1070,0,0,0,0,0,0,16,荣耀王者,42,,https://camp.qq.com/h5/webdist/team-analyzev2.html?sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&gameseq=1738674792&relaysvrentity=-551533808&playerid=1140354248&roleName=elo！躺赢&uniqueRoleId=126973517&roleId=1140354248,smobagamehelper://hippy?modulename=battledetail&toServerId=1086&toAreaId=1&toAppRoleId=126973517&toGameRoleId=1140354248&gameSvrId=133980&relaySvrId=-551533808&gameSeq=1738674792&pvpType=5&acntCamp=1&battleType=12,,https://game-1255653016.file.myqcloud.com/manage/custom_wzry_skin_128x128/38ef965b650a7d05b792662d16c02e5b.png,,,,31,,,0,,,0,0,0,0,0,6.6
1738653832,4,2,2025/2/4 14:58,7,15,3,2,0,0,183,1,2,排位赛 双排,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=173604&relaySvrId=887144976&gameseq=1738652089&pvptype=5,0,173604,887144976,1738652089,5,2,12,0,1200,1200,0,0,0,0,0,0,1551,0,0,0,0,0,0,16,荣耀王者,41,,https://camp.qq.com/h5/webdist/team-analyzev2.html?sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&gameseq=1738652089&relaysvrentity=887144976&playerid=1140354248&roleName=elo！躺赢&uniqueRoleId=126973517&roleId=1140354248,smobagamehelper://hippy?modulename=battledetail&toServerId=1086&toAreaId=1&toAppRoleId=126973517&toGameRoleId=1140354248&gameSvrId=173604&relaySvrId=887144976&gameSeq=1738652089&pvpType=5&acntCamp=1&battleType=12,,https://game-1255653016.file.myqcloud.com/manage/custom_wzry_skin_128x128/38ef965b650a7d05b792662d16c02e5b.png,,,,31,,,0,,,0,0,0,0,0,5.9
1738652023,4,1,2025/2/4 14:38,2,12,1,2,0,0,183,2,2,排位赛 双排,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=172898&relaySvrId=488678160&gameseq=1738650933&pvptype=5,0,172898,488678160,1738650933,5,2,12,0,1200,1200,0,0,0,0,0,0,941,0,1,0,0,0,0,16,荣耀王者,42,,https://camp.qq.com/h5/webdist/team-analyzev2.html?sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&gameseq=1738650933&relaysvrentity=488678160&playerid=1140354248&roleName=elo！躺赢&uniqueRoleId=126973517&roleId=1140354248,smobagamehelper://hippy?modulename=battledetail&toServerId=1086&toAreaId=1&toAppRoleId=126973517&toGameRoleId=1140354248&gameSvrId=172898&relaySvrId=488678160&gameSeq=1738650933&pvpType=5&acntCamp=2&battleType=12,,https://game-1255653016.file.myqcloud.com/manage/custom_wzry_skin_128x128/38ef965b650a7d05b792662d16c02e5b.png,,,,31,,,0,,,0,0,0,0,0,5.3
1738604293,4,1,2025/2/4 1:23,1,14,2,2,0,0,183,2,1,排位赛,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=171889&relaySvrId=434151952&gameseq=1738603248&pvptype=5,0,171889,434151952,1738603248,5,2,16,0,1200,1200,0,0,0,0,0,0,879,0,0,0,0,0,0,16,荣耀王者,43,,https://camp.qq.com/h5/webdist/team-analyzev2.html?sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&gameseq=1738603248&relaysvrentity=434151952&playerid=1140354248&roleName=elo！躺赢&uniqueRoleId=126973517&roleId=1140354248,smobagamehelper://hippy?modulename=battledetail&toServerId=1086&toAreaId=1&toAppRoleId=126973517&toGameRoleId=1140354248&gameSvrId=171889&relaySvrId=434151952&gameSeq=1738603248&pvpType=5&acntCamp=2&battleType=16,,https://game-1255653016.file.myqcloud.com/manage/custom_wzry_skin_128x128/38ef965b650a7d05b792662d16c02e5b.png,,,,31,,,0,,,0,0,0,0,0,5
